7 9
6 0
63 41 633
32 31 334
149 133 317
106 27 374
141 100 581
27 116 162
31 123 59
84 158 765
93 85 799
56 143 856
114 94 546
111 118 90
3 42 223
20 5 401
110 55 844
130 17 176
28 100 577
60 134 588
8 86 575
161 2 581
1 2 446
73 137 195
98 144 21
138 116 893
85 65 311
96 46 911
108 137 871
39 80 695
162 83 303
156 73 556
73 18 975
78 6 642
119 147 750
100 68 37
128 102 189
77 25 930
4 160 544
164 116 122
55 42 310
120 139 825
134 112 27
50 78 490
20 93 420
126 52 765
149 91 115
131 91 458
44 149 149
119 28 693
139 115 386
64 83 331
25 84 209
150 82 900
98 109 162
39 165 594
163 56 305
123 152 546
97 155 607
59 169 907
23 112 955
21 130 770
58 127 881
27 145 872
58 97 675
168 126 906
132 48 787
158 145 101
101 153 217
53 21 61
55 136 285
120 148 248
70 144 613
101 159 817
14 37 154
120 112 27
98 135 440
90 9 758
20 16 200
108 20 109
82 44 364
39 102 326
65 14 216
120 114 736
28 130 90
28 99 52
89 135 91
148 61 604
59 152 865
152 103 775
131 77 842
127 75 645
122 42 821
34 61 734
102 110 293
131 147 282
137 9 656
121 81 353
154 153 379
8 126 490
167 61 394
23 114 803
136 133 932
166 124 935
104 95 70
56 95 229
12 121 603
20 118 416
37 104 218
84 10 855
14 49 756
119 137 360
29 88 500
161 31 886
59 32 948
105 15 815
56 83 341
31 142 427
90 71 502
105 37 190
142 122 264
60 96 15
87 19 265
165 46 193
84 48 922
6 165 765
132 77 211
76 155 88
33 156 94
93 84 437
102 97 872
52 24 153
18 163 372
18 151 855
6 76 968
16 69 301
152 122 219
146 99 909
21 125 865
166 123 960
108 57 849
26 150 594
152 80 802
147 109 489
54 15 912
128 164 899
27 23 649
4 7 579
146 47 966
114 17 244
32 116 246
7 56 779
84 13 101
12 39 256
116 140 480
29 120 295
35 51 807
94 143 421
83 102 338
26 155 701
155 143 14
26 71 418
82 67 319
74 94 49
58 145 486
170 64 838
7 76 518
163 97 874
28 5 297
25 123 40
3 24 303
150 44 780
75 54 170
101 136 199
26 59 794
5 21 613
70 97 328
167 140 822
155 116 382
134 168 836
72 78 859
93 82 276
38 12 452
51 70 330
169 99 753
170 122 654
126 166 381
15 134 60
150 95 161
100 28 454
46 136 706
50 105 756
103 125 278
123 61 205
4 140 127
102 140 927
51 108 496
79 121 87
0 10 967
96 89 37
116 170 877
155 100 537
34 138 816
137 46 996
54 61 134
170 88 73
90 114 650
0 125 256
52 143 288
10 54 255
65 18 327
146 38 849
68 40 162
91 142 754
155 144 626
22 57 757
136 85 602
36 85 452
134 107 575
116 155 106
96 79 58
160 84 667
25 66 956
20 50 868
37 16 924
5 28 835
97 24 707
105 62 262
12 67 698
11 153 673
56 168 891
64 136 626
114 17 650
17 10 227
111 143 898
109 142 701
8 44 420
48 18 904
71 127 136
43 27 656
50 6 642
41 29 772
70 9 360
40 154 465
92 149 809
123 156 347
25 61 513
21 62 705
130 31 861
3 145 428
77 78 530
22 141 949
39 95 812
99 137 946
97 171 768
75 150 248
13 97 881
145 1 447
130 87 289
94 169 340
9 144 999
99 85 719
1 25 976
52 63 589
135 152 363
109 8 921
62 157 556
4 72 490
131 103 832
124 54 215
5 9 711
55 33 758
160 46 389
111 117 643
127 116 916
98 102 789
105 74 345
23 75 607
63 106 551
81 101 20
120 103 186
142 145 281
51 52 134
109 86 925
108 43 542
15 0 726
123 73 438
89 0 844
77 49 57
152 169 869
149 150 548
157 1 692
63 60 722
2 167 479
106 111 116
89 13 549
148 141 98
148 149 922
144 122 736
132 59 614
106 164 359
115 101 404
66 59 888
77 32 987
50 101 908
24 160 971
4 126 580
6 33 595
158 142 314
74 79 110
138 57 41
151 150 403
14 77 452
164 91 144
20 43 797
106 105 276
61 51 879
6 43 758
16 59 728
135 96 748
149 154 433
51 90 407
18 12 110
13 122 9
82 71 643
78 150 823
9 72 113
147 69 641
19 95 556
153 130 951
19 165 4
124 138 394
12 71 805
143 123 112
49 19 27
91 81 991
153 152 1000
80 13 305
94 147 125
35 155 948
134 104 917
162 156 13
6 120 129
134 94 649
62 23 295
168 164 607
42 97 910
24 30 301
29 107 233
121 42 366
149 23 395
72 147 775
152 18 730
170 169 13
147 25 708
36 28 638
135 12 705
144 119 639
92 63 135
12 162 263
115 88 269
48 32 685
166 23 477
33 71 142
50 90 20
83 51 783
34 57 742
63 30 408
95 119 453
76 115 61
150 55 264
106 123 144
11 124 22
74 166 768
3 68 429
104 74 254
113 78 108
167 98 514
160 10 473
148 5 58
45 53 589
147 137 519
49 140 719
156 76 946
161 41 126
154 146 138
111 142 895
138 55 177
160 66 78
66 97 35
75 118 771
165 9 903
115 18 847
168 84 922
117 62 390
25 114 285
54 25 305
104 166 379
107 165 392
34 69 957
3 113 416
17 86 793
89 50 993
168 135 124
34 39 523
148 47 997
72 80 544
52 83 639
138 11 187
60 155 499
116 170 583
166 68 289
2 152 841
131 157 501
77 22 218
150 124 921
33 137 85
98 142 285
125 164 555
11 154 503
117 18 248
85 78 709
160 78 445
16 154 58
77 139 697
60 29 833
139 85 817
143 98 300
147 102 37
74 123 88
100 157 464
85 3 142
147 55 864
116 6 540
34 93 228
143 87 106
99 150 622
72 71 46
59 8 777
5 53 136
25 151 53
149 91 994
79 113 96
120 2 871
65 159 433
30 17 927
8 6 477
167 58 191
93 52 715
83 108 470
131 23 734
82 30 705
55 15 928
55 89 661
115 94 181
114 82 516
65 119 488
120 151 325
66 17 568
64 15 383
66 80 863
151 35 962
97 156 347
8 147 263
97 23 890
27 40 853
126 51 340
59 114 260
16 111 932
78 99 555
84 106 159
145 117 512
125 99 893
3 103 13
44 153 335
155 83 808
76 18 305
87 133 187
153 24 390
113 8 111
30 156 143
137 82 717
93 9 690
110 20 283
47 109 315
92 117 748
135 139 735
37 147 405
145 163 141
80 71 180
83 53 545
128 81 955
137 10 431
66 65 828
40 141 791
73 80 951
154 21 630
3 28 240
106 70 445
88 80 627
31 159 666
60 121 814
23 67 498
19 30 145
40 157 551
122 80 708
52 42 767
81 152 305
147 11 179
56 133 590
83 74 574
167 48 73
163 114 660
167 63 289
10 42 730
23 48 813
77 8 931
103 37 261
158 31 993
19 163 943
136 59 134
118 78 899
135 75 57
36 110 914
98 124 216
16 1 288
148 36 361
44 71 525
63 48 106
162 131 35
143 21 459
145 92 410
81 7 311
153 127 13
94 41 797
104 149 518
48 59 706
85 72 99
31 109 612
45 58 454
131 70 370
168 3 83
76 169 47
23 121 989
44 7 821
14 73 658
111 136 544
29 17 891
97 28 920
39 34 902
122 91 216
158 88 312
160 76 266
49 89 346
40 75 58
148 138 974
169 71 808
29 101 562
94 126 649
83 108 785
108 26 968
32 84 1
2 123 207
84 18 184
142 56 94
67 162 807
89 96 512
85 94 825
14 31 911
92 61 46
110 128 275
122 106 149
50 26 889
159 119 353
137 154 906
2 93 270
90 103 978
77 52 727
83 29 585
35 56 159
111 26 713
153 74 213
82 131 592
51 96 415
158 106 604
126 107 213
59 20 560
6 26 70
65 143 960
131 39 171
75 30 941
35 66 961
2 136 579
89 50 467
90 0 307
74 21 598
59 93 451
71 108 166
74 133 863
29 101 462
19 45 817
3 63 279
12 161 654
20 12 840
155 168 965
56 81 34
127 46 371
14 139 167
30 122 41
102 40 628
47 88 798
94 150 13
159 93 57
130 115 46
47 17 50
41 63 476
126 123 621
132 166 713
74 3 16
68 143 106
136 52 38
99 93 299
119 146 15
37 138 486
14 12 91
137 76 634
151 50 740
40 89 408
157 98 266
10 24 121
167 145 622
15 167 47
139 156 886
103 15 275
138 65 729
118 93 865
128 131 248
76 145 9
54 12 191
67 91 760
34 55 773
116 52 764
69 105 949
167 97 243
118 111 24
84 99 887
159 147 22
159 24 559
125 159 796
70 151 776
66 12 665
121 167 939
42 102 170
10 17 634
40 155 957
41 36 890
32 163 914
120 79 379
134 148 512
60 86 470
83 75 5
70 73 949
129 36 119
28 72 673
167 69 355
123 48 371
50 162 673
151 24 1
138 110 194
28 149 475
124 151 538
66 58 948
170 83 311
146 107 544
132 119 135
83 73 459
98 136 212
90 12 447
52 60 517
149 127 33
58 68 677
69 169 364
40 112 552
64 86 1
84 24 334
154 122 883
92 39 458
151 23 581
123 37 764
88 170 189
116 17 426
51 161 952
2 36 261
170 147 825
87 38 468
97 7 231
30 7 52
88 154 291
88 26 348
75 165 559
125 48 462
112 38 223
98 14 17
146 128 910
27 170 922
130 126 180
147 95 35
10 40 437
104 138 710
47 46 185
53 113 11
69 98 904
82 135 637
96 45 772
100 139 672
135 134 161
69 111 354
28 163 985
122 74 902
46 50 362
62 104 94
40 108 584
169 17 828
166 46 308
61 69 562
166 142 591
30 119 841
135 76 401
97 73 612
152 82 594
59 162 882
73 13 787
131 27 176
33 11 449
29 113 508
166 64 740
123 87 383
46 154 230
35 42 650
109 170 53
17 168 23
48 151 811
37 153 274
44 74 236
20 164 173
151 34 49
167 19 730
135 82 563
125 91 700
93 113 914
113 87 417
148 122 912
53 122 805
166 139 176
153 103 743
87 127 203
65 66 26
62 155 356
46 16 6
100 90 121
31 115 333
101 121 759
84 127 683
169 135 110
124 138 399
168 24 904
66 46 933
47 67 344
1 61 69
21 155 518
55 25 736
11 121 370
106 29 633
8 15 86
20 85 157
108 73 221
147 78 103
5 51 95
114 50 849
147 102 236
102 71 790
67 138 15
136 65 616
156 48 794
54 155 769
21 4 224
126 143 850
168 166 328
40 27 929
144 46 416
126 82 946
170 137 89
61 41 928
162 58 585
51 2 477
17 107 253
24 22 358
45 10 682
10 94 199
15 74 499
132 11 558
162 129 342
112 73 562
77 92 368
17 60 127
29 113 799
27 166 681
132 95 427
155 141 435
155 153 260
36 97 59
63 108 525
110 168 153
16 40 143
145 38 779
9 128 479
79 32 432
143 72 513
96 124 659
127 157 272
33 97 272
24 2 862
107 16 804
70 140 170
139 155 143
5 88 691
88 9 526
0 1 690
79 141 107
77 57 227
77 30 962
101 18 670
9 171 835
89 124 106
96 25 335
41 28 60
43 82 114
146 67 153
62 19 345
48 111 330
122 126 784
67 166 474
3 169 550
75 53 452
83 52 340
145 74 835
63 70 433
15 37 997
44 65 806
68 7 685
56 130 332
106 91 835
71 94 745
66 118 640
72 61 936
148 10 338
18 130 168
161 131 105
127 26 875
101 69 966
41 120 634
72 12 14
118 96 629
157 50 959
43 66 399
125 113 789
147 72 912
20 142 997
131 114 797
85 18 436
167 49 609
141 74 321
90 129 705
40 155 676
100 81 867
92 107 180
78 58 526
65 4 666
45 156 143
16 120 783
7 2 131
52 50 356
92 152 648
116 111 610
170 147 866
59 92 425
67 93 444
35 26 635
10 34 31
65 117 16
79 137 153
111 66 940
23 111 290
146 112 967
48 37 792
54 43 862
80 15 626
169 113 779
126 58 556
92 30 255
73 17 974
149 132 232
157 87 604
118 157 854
22 99 154
83 111 587
22 98 10
39 166 63
63 170 843
67 1 510
147 60 819
105 121 171
44 143 569
53 37 534
27 35 814
115 22 831
145 169 141
34 15 282
33 51 562
146 159 405
21 43 879
76 91 256
16 5 941
149 56 970
145 30 157
106 57 721
123 119 164
44 64 914
136 129 160
74 53 42
83 60 642
86 13 656
111 35 163
123 19 407
25 105 388
94 11 178
75 153 11
34 71 705
32 112 242
33 84 613
65 59 752
88 153 30
13 88 808
70 115 624
115 50 311
125 70 258
34 24 573
100 58 960
78 22 661
158 155 288
44 75 483
47 16 517
81 140 966
102 168 512
132 41 441
138 39 722
58 37 678
84 81 639
131 150 673
22 117 364
130 27 742
83 68 384
125 77 754
113 84 415
10 100 512
21 8 650
110 31 453
137 57 651
6 20 220
79 31 978
111 120 843
33 118 44
7 69 681
88 53 946
63 126 897
0 51 801
84 156 692
29 60 275
2 143 854
113 87 111
91 111 855
72 46 38
96 58 470
47 91 333
113 150 708
50 60 893
14 30 393
162 27 274
116 14 774
105 10 857
167 19 698
96 97 558
70 0 456
57 59 834
121 36 535
50 157 869
38 166 430
114 31 282
69 125 615
5 85 611
107 14 206
11 60 885
144 165 964
18 51 881
66 72 66
143 164 602
126 2 124
48 151 945
144 113 958
84 131 705
35 63 638
105 31 725
20 86 152
84 76 693
137 135 471
28 111 495
85 146 339
56 97 811
96 0 740
51 94 562
20 58 52
156 50 173
131 143 16
169 23 535
110 125 755
122 162 205
84 90 733
60 127 203
44 9 415
3 33 225
25 153 129
125 170 343
90 117 872
126 130 636
93 63 133
130 18 370
135 83 822
57 111 179
160 72 956
35 103 659
83 155 474
140 137 881
13 26 470
30 39 13
101 73 966
50 46 584
126 85 358
84 132 657
171 4 684
130 151 573
170 130 127
71 2 741
170 102 72
121 152 31
41 96 947
28 142 643
24 147 101
34 76 39
92 147 312
147 44 931
67 95 612
82 113 786
25 11 690
36 85 924
125 95 383
58 79 848
128 103 19
93 153 157
7 150 489
12 146 932
136 12 607
38 119 674
116 84 875
77 101 870
80 146 228
92 73 402
8 107 559
149 96 305
20 18 784
88 4 368
160 58 853
88 132 456
40 8 331
45 8 894
32 62 160
144 78 568
120 168 181
97 92 965
119 115 397
143 26 74
31 137 29
59 132 881
115 33 809
32 84 942
103 139 795
105 54 95
156 25 387
66 130 305
47 36 255
103 109 698
38 105 121
22 1 631
125 39 896
33 141 677
164 59 486
16 9 323
56 150 111
55 5 492
140 111 929
125 108 597
99 25 847
41 55 852
97 139 421
13 107 558
114 49 109
77 8 667
15 140 829
39 108 176
122 129 721
87 159 884
17 168 137
117 92 152
45 39 794
149 56 131
67 60 440
158 38 245
62 19 625
149 9 742
171 149 902
104 3 735
129 14 475
56 37 907
59 36 365
12 96 965
108 2 705
21 46 669
109 80 354
76 133 516
132 147 34
137 141 244
13 85 916
55 6 928
50 147 478
72 153 465
80 49 367
155 135 839
72 17 154
106 19 834
126 60 667
141 18 335
6 13 234
80 118 803
164 98 268
86 23 261
3 28 642
166 14 602
10 36 464
158 36 258
33 56 349
31 6 563
57 167 672
78 119 648
67 158 384
105 155 397
6 139 736
158 152 623
64 97 996
17 138 416
42 81 644
85 20 198
114 142 903
137 157 975
16 170 653
113 116 941
82 46 817
132 159 493
63 88 414
23 98 9
69 115 486
132 125 186
160 39 869
8 135 700
71 72 22
141 28 927
17 38 748
6 17 713
134 146 259
147 108 932
36 22 414
135 49 495
93 79 583
105 52 822
152 54 165
102 168 697
94 143 178
156 151 93
43 85 644
115 154 915
155 92 759
136 128 468
36 151 433
82 15 986
76 160 365
78 50 987
22 126 882
10 101 629
40 137 75
68 18 152
89 55 565
166 127 456
100 18 524
126 170 706
6 12 304
62 90 196
64 97 53
53 18 911
87 5 700
50 103 507
138 32 39
110 70 679
107 0 788
93 97 939
74 94 79
10 81 422
6 130 547
122 21 419
37 42 578
158 88 589
63 18 626
35 53 985
89 162 429
13 16 744
26 155 842
109 28 866
0 153 604
35 171 247
104 77 168
115 7 192
136 76 915
86 102 360
64 119 866
119 67 906
8 73 911
81 171 803
86 25 447
32 162 663
117 69 310
18 15 740
133 77 199
158 153 192
127 111 338
102 133 900
111 129 665
122 161 935
9 17 344
34 71 189
62 170 910
132 108 429
91 157 990
24 72 661
39 129 391
36 92 950
24 142 318
167 140 573
3 58 392
46 73 664
15 14 485
99 47 469
84 92 996
168 40 549
89 61 867
145 7 338
14 68 470
120 66 71
171 163 721
156 64 537
39 16 610
24 83 149
161 65 526
3 153 492
82 101 468
5 145 558
167 87 37
135 40 152
80 76 933
36 115 37
92 102 496
14 105 59
137 164 366
120 165 838
57 49 799
102 152 949
102 70 459
147 47 564
69 111 238
54 64 700
18 73 162
34 25 748
74 14 959
85 166 168
43 168 227
60 63 333
91 85 891
12 88 881
46 63 265
164 158 760
24 37 41
54 17 131
118 51 736
80 88 462
38 54 883
65 121 553
138 48 945
100 51 528
48 43 676
157 18 74
53 157 110
56 136 771
5 153 563
100 130 283
21 102 435
35 44 704
165 68 332
43 159 519
11 10 309
72 20 933
26 15 450
20 52 988
83 140 760
161 107 825
85 142 359
45 112 699
51 156 264
130 135 983
39 33 450
21 75 447
105 33 363
71 124 530
168 78 57
151 7 717
123 98 867
22 111 754
161 16 508
60 16 835
164 47 106
23 81 111
145 151 505
157 4 304
16 9 430
7 86 443
168 39 710
108 37 188
88 89 755
119 100 61
159 166 858
136 23 241
65 102 776
141 107 859
1 162 266
53 121 549
29 108 673
46 153 244
66 129 412
10 36 676
171 31 565
27 145 276
81 171 385
168 31 525
123 89 514
106 142 156
21 91 760
58 41 999
89 20 438
31 78 625
24 68 128
161 16 822
112 69 611
49 45 909
78 110 578
136 79 28
76 47 838
19 61 968
166 102 170
38 149 484
113 63 523
82 57 602
43 150 244
22 109 540
92 113 705
151 127 513
148 13 532
63 31 782
24 128 465
118 86 244
131 116 50
92 109 918
71 95 173
64 142 47
120 25 239
121 65 365
167 71 590
8 171 675
93 132 987
20 112 154
30 64 22
13 140 87
158 60 40
11 102 396
156 158 559
151 79 256
2 146 336
31 19 797
139 35 118
150 122 57
105 168 652
89 123 153
89 88 993
137 171 500
29 122 542
0 20 636
4 129 319
141 54 966
2 105 936
103 81 435
77 12 184
169 64 330
23 165 309
28 139 733
112 144 230
117 120 438
64 77 203
44 49 364
129 52 942
157 20 241
121 150 752
22 76 628
153 104 873
21 86 380
32 40 111
12 71 783
131 68 711
167 131 29
39 80 116
103 23 465
88 113 214
41 21 587
161 153 587
100 158 372
107 140 50
99 70 548
51 123 456
16 33 68
105 166 284
94 153 488
58 161 354
118 140 367
75 0 181
80 137 638
130 140 775
90 125 919
161 52 626
40 135 734
45 123 331
86 158 356
80 150 395
28 43 105
97 82 684
64 58 443
164 45 688
92 110 283
64 100 162
33 47 566
135 166 829
150 95 332
165 35 447
116 70 54
60 165 849
108 19 14
119 101 760
161 93 967
144 145 4
149 51 278
149 128 738
171 97 641
122 81 593
146 81 726
93 151 423
108 89 985
87 47 983
121 82 983
135 81 586
154 125 447
78 103 612
149 131 32
89 135 290
112 145 299
58 140 16
136 54 590
25 88 158
136 97 982
56 82 62
110 85 252
61 38 370
75 26 40
157 8 748
97 146 886
120 50 742
65 94 663
47 53 999
34 99 949
35 51 836
103 25 11
150 48 146
48 4 109
59 28 919
41 45 672
46 166 476
13 5 93
8 4 878
41 95 895
102 154 583
48 160 934
121 28 786
139 32 829
163 20 440
95 33 539
13 61 768
34 135 131
52 26 969
138 132 207
156 149 222
15 161 581
116 60 866
66 28 777
95 86 463
12 141 55
9 109 707
20 107 140
35 108 902
122 148 312
162 50 940
83 57 693
135 73 391
82 15 351
5 36 812
57 148 31
23 146 689
82 94 286
38 111 847
51 81 299
32 93 797
96 16 68
63 134 489
73 154 330
148 141 281
74 42 191
84 62 919
110 141 197
3 147 706
92 79 214
33 157 48
87 124 328
5 129 900
21 103 608
31 100 603
35 78 873
50 2 843
49 71 423
147 91 12
165 123 463
153 15 382
95 20 299
100 26 630
105 41 377
48 145 278
67 27 169
56 55 602
12 119 544
123 78 234
170 124 82
100 162 904
102 34 320
84 117 85
147 2 735
150 13 43
16 39 579
96 48 231
52 67 125
0 154 20
69 158 452
60 88 441
69 60 697
56 106 707
71 45 760
3 119 560
27 55 656
134 18 518
6 82 374
109 114 533
82 105 663
42 73 277
69 164 134
153 45 627
65 75 343
77 131 321
144 44 823
165 156 292
22 43 232
51 128 499
77 8 147
157 62 819
147 80 104
0 63 251
161 7 618
139 102 545
167 27 526
130 77 586
30 28 484
120 59 202
91 40 547
10 16 649
43 86 811
103 130 467
132 16 366
106 114 766
9 144 638
98 44 386
163 26 889
55 166 632
45 42 330
69 18 245
115 91 209
116 130 387
13 106 609
137 82 276
72 78 876
153 44 403
153 37 577
72 81 453
41 106 770
18 162 853
117 24 900
137 160 654
59 121 127
158 118 369
114 146 746
149 17 858
164 169 7
44 71 666
6 47 247
78 22 215
144 64 441
5 34 824
32 107 508
18 94 109
147 162 20
159 64 937
60 67 68
134 0 374
115 84 485
24 110 292
60 34 869
113 36 718
18 115 84
152 62 934
144 66 922
75 15 273
63 68 945
4 168 913
17 10 484
24 124 173
86 170 728
119 97 99
141 134 268
95 167 408
129 65 806
164 63 677
47 27 706
4 109 927
163 23 393
131 124 563
118 93 803
17 66 646
77 117 643
30 142 830
99 165 571
25 0 244
133 171 135
151 78 607
169 45 325
27 160 383
40 90 559
80 125 442
10 38 713
156 6 1
94 62 462
103 87 974
151 28 16
29 47 236
114 62 579
127 12 203
114 102 41
25 23 575
139 10 872
42 69 136
162 103 652
19 159 601
105 106 30
52 70 178
138 74 669
14 155 807
112 62 961
61 94 467
92 59 982
25 8 328
135 46 470
97 55 803
139 1 940
109 77 670
10 117 642
154 2 410
75 59 269
75 102 9
19 32 817
12 99 466
121 40 933
136 8 169
161 150 210
155 43 899
51 2 35
79 4 659
161 53 300
167 107 312
45 65 740
92 19 685
129 171 835
112 44 348
37 79 977
88 53 269
97 9 890
121 159 200
147 30 916
23 42 660
63 124 700
21 56 42
30 145 581
92 53 104
79 55 950
154 0 417
125 25 838
142 122 140
171 38 968
57 95 685
122 89 270
37 165 421
20 25 32
91 44 156
71 67 547
115 116 199
44 118 206
163 98 360
119 88 945
157 141 51
131 69 235
28 50 963
97 99 356
169 37 929
32 65 63
161 114 433
71 86 329
0 156 576
66 142 583
132 150 96
105 73 564
18 72 755
166 82 923
82 83 810
98 162 763
77 47 675
118 60 442
47 98 996
32 102 709
122 2 1
9 70 873
85 63 792
28 74 368
96 12 188
24 149 418
16 136 985
2 153 439
7 103 677
63 79 938
41 70 921
58 123 752
34 7 907
107 106 157
90 143 807
164 85 880
139 87 757
150 13 808
151 112 803
18 53 658
52 8 398
2 48 278
62 11 712
168 24 500
119 110 736
40 74 571
46 93 850
135 117 203
161 41 874
118 25 497
119 115 525
150 73 34
115 93 19
155 157 719
30 118 448
60 142 895
3 6 815
67 94 31
52 27 301
108 48 754
5 55 931
106 132 790
51 86 368
90 40 9
73 48 900
131 153 176
162 89 497
144 69 18
17 149 240
145 115 227
59 75 620
35 99 23
31 130 178
104 50 388
42 157 177
83 46 459
44 55 263
132 63 375
154 2 143
75 17 370
166 126 519
107 40 105
72 7 865
120 166 529
21 156 736
20 148 393
34 35 21
111 11 475
149 41 120
60 156 750
81 16 939
90 122 745
139 88 629
13 100 625
75 104 696
99 74 753
170 85 337
99 115 811
63 141 965
31 12 905
72 2 534
154 73 859
167 113 528
66 77 30
72 95 124
5 171 227
52 5 630
99 18 446
28 93 410
52 26 843
161 135 126
145 147 865
60 167 5
158 138 963
20 158 316
30 161 104
83 55 972
112 30 684
54 79 559
156 116 3
32 25 303
109 142 164
42 23 142
60 156 14
134 29 421
56 53 75
140 148 688
113 14 423
165 120 398
100 167 103
108 170 774
131 77 815
114 53 176
41 85 77
130 168 275
121 67 25
145 75 564
119 113 303
44 132 437
42 54 232
4 38 217
74 39 636
21 27 603
12 98 58
73 78 288
81 159 601
11 98 143
138 105 430
48 103 13
146 114 360
101 148 244
47 88 286
123 98 392
3 151 734
168 69 609
133 130 974
122 8 371
135 158 774
38 51 799
122 118 476
130 22 83
168 74 913
54 107 484
4 127 703
154 138 22
171 141 427
66 131 276
85 161 626
63 35 730
126 124 898
148 81 33
170 67 150
155 110 227
138 98 182
58 88 793
43 50 637
18 122 519
135 115 813
147 128 453
141 76 314
154 52 862
141 130 304
81 94 345
8 154 446
34 108 388
13 113 130
87 12 830
132 4 531
104 61 859
48 50 960
106 25 911
4 19 372
166 3 543
47 86 473
21 0 893
0 119 368
29 93 923
140 170 19
35 144 463
71 24 987
113 117 346
148 27 794
59 34 243
102 53 777
110 74 924
140 29 145
98 57 904
85 145 353
2 21 397
50 134 391
89 111 555
129 116 729
122 159 9
1 61 116
90 98 392
34 29 221
80 95 898
20 18 482
122 32 537
66 84 162
26 138 773
97 87 415
132 24 409
102 84 681
53 51 197
40 60 535
138 102 429
74 153 397
134 142 512
36 103 898
69 102 675
79 66 244
51 25 280
157 39 886
66 151 626
70 77 611
52 104 976
142 165 691
71 165 595
101 160 521
127 11 291
27 79 663
42 146 661
91 2 586
6 160 242
55 145 314
2 90 262
105 150 420
24 155 929
168 26 692
73 40 390
142 22 732
4 21 390
138 166 435
15 58 229
110 114 828
88 73 975
82 133 610
32 0 549
92 143 179
137 117 242
25 90 543
117 121 451
2 126 572
60 122 127
55 7 525
27 66 752
47 149 657
13 50 399
135 11 724
69 76 743
40 107 854
144 21 565
100 164 603
142 86 497
83 36 163
64 101 688
21 138 686
17 118 287
64 31 845
57 152 301
3 79 856
33 168 961
166 152 695
70 139 749
40 19 5
49 141 40
98 145 833
10 79 539
58 100 578
133 169 887
8 80 714
30 118 908
8 117 687
38 70 419
144 122 4
37 105 939
101 56 911
16 129 349
100 9 769
57 159 613
122 79 477
7 151 652
53 52 38
129 162 369
128 67 46
104 156 749
42 34 457
1 64 812
151 131 644
159 5 973
11 74 49
155 131 878
68 148 3
18 89 584
114 25 22
82 78 925
109 167 412
88 11 344
32 92 816
8 170 131
77 150 435
16 108 392
131 157 365
56 123 455
134 23 258
11 115 654
101 55 101
75 86 100
98 145 719
51 70 244
100 18 583
44 15 963
33 106 686
105 41 477
105 28 448
100 2 946
119 123 869
148 165 426
165 29 94
54 86 491
99 115 742
47 36 330
139 59 189
105 7 352
86 150 442
51 69 428
93 119 65
1 27 657
17 163 793
57 6 564
132 99 310
57 87 506
152 66 671
49 103 793
168 155 903
156 142 602
133 8 205
43 159 930
123 0 865
123 168 526
74 166 169
45 49 903
83 119 542
116 113 730
122 128 141
141 160 541
33 51 765
36 143 448
24 147 17
72 122 591
48 3 381
80 33 148
151 82 388
158 2 379
152 84 521
0 46 708
92 129 896
80 10 482
169 148 763
7 90 399
136 65 480
43 72 592
3 38 505
110 23 326
